N,gamma_b_over_J,slow_rigidity,min_rigidity,slow_residue_over_participation,max_residue_over_participation
20,0.014542154334489537,0.9999882839314169,0.9995167302367699,1.0000117162058508,1.0004835034258164
20,0.01647548972442066,0.9999849673941666,0.9993796714671277,1.0000150328318163,1.0006207135792162
20,0.018665856200942244,0.9999807141236264,0.9992037351034327,1.0000192862483257,1.000796899439617
20,0.021147425268811283,0.9999752609021534,0.9989778888988019,1.0000247397098847,1.0010231568812047
20,0.02395891143088217,0.999968271425311,0.9986879671677316,1.0000317295814232,1.0013137565239618
20,0.027144176165949066,0.9999593165743367,0.9983157789742385,1.0000406850808714,1.001687062411747
20,0.030752912203613758,0.9999478497312367,0.9978379613098348,1.0000521529885555,1.0021667232296183
20,0.0348414187714254,0.9999331761328213,0.9972245035699321,1.0000668283329064,1.0027832212507133
20,0.03947347990878038,0.9999144152245367,0.9964368478418119,1.0000855921008438,1.0035758936112262
20,0.044721359549995794,0.999890455078545,0.9954254409522948,1.0001095569228595,1.0045955818080448
20,0.05066692890066491,0.9998598983060251,0.9941265765798756,1.0001401213252101,1.0059081243359682
20,0.057402943695285626,0.9998209997191363,0.9924583157900772,1.0001790323277002,1.0075989934185992
20,0.06503449126242364,0.9997715975899959,0.9903152075263646,1.000228454589583,1.009779504949567
20,0.07368062997280773,0.9997090431647395,0.9875614402620096,1.0002910415157789,1.0125952262116371
20,0.08347624664708567,0.9996301377460302,0.9840219324240371,1.0003699991026718,1.0162375116341185
20,0.09457416090031759,0.9995310939391406,0.9794706976192803,1.0004691260369012,1.0209595881026543
20,0.10714750925269857,0.9994075483665559,0.9736155784419611,1.0005928028404552,1.027099424189844
20,0.12139244620058345,0.9992546677224878,0.9660780939632448,1.0007458882120723,1.0351130061314129
20,0.13753120438672645,0.9990674076509225,0.956366633228397,1.0009334628894264,1.0456240998541637
20,0.15581556161088883,0.9988410009408868,0.9438404551781627,1.0011603438965977,1.0595010994853327
20,0.17653076876901028,0.9985717590237183,0.9276607647751252,1.0014302837661646,1.0779802681882433
20,0.2,0.9982582518691661,0.9067232546506863,1.0017447871105223,1.1028723426590052
20,0.22658939446607085,0.9979028606867368,0.8795634737862598,1.0021015465491505,1.136927612165722
20,0.25671376842250326,0.9975135479420995,0.8442214806744192,1.002492649912405,1.1845232831568495
20,0.29084308668979075,0.9971054518862117,0.7980445596091033,1.0029029508446798,1.2530628621662656
20,0.32950979448841317,0.9967016379836423,0.7373967592912385,1.0033092772106111,1.356122043391087
20,0.3733171240188449,0.9963321750731772,0.6572431063311065,1.0036813273911922,1.5215070198031397
20,0.4229485053762257,0.9960308825005811,0.5506592258717279,1.003984934171373,1.8160051680182745
20,0.4791782286176434,0.9958297981131597,0.4087165806466306,1.0041876652965611,2.4466832209691605
20,0.5428835233189814,0.9957525312153447,0.2117042785273498,1.0042655867311445,4.723570099556639
20,0.6150582440722752,0.9958086276554169,0.20024154796735824,1.0042090138889952,4.993968585195975
20,0.6968283754285082,0.9959911310412808,0.32021870146853904,1.0040250046750196,3.122865702140287
20,0.7894695981756077,0.9962783687296171,0.42743401501175077,1.00373553354885,2.3395423969065927
20,0.8944271909999161,0.9966392047924588,0.523809521539201,1.0033721282399697,1.9090909173653914
20,1.0133385780132982,0.9970396838058587,0.6084128807379353,1.0029691056857852,1.643620691901056
20,1.1480588739057127,0.9974488510769851,0.6811304162357041,1.002557673930107,1.468147620725179
20,1.300689825248473,0.9978424004148531,0.7425061595294755,1.0021622648869695,1.346790174284477
