J_over_gamma_t,xi_read,N_floor,N_res
6200.87290762581,3100.4364672518727,28.036049111845468,301.98555049630534
6570.676154824831,3285.3380900950274,28.60215078963024,310.8893416641358
6962.533465004367,3481.266744471007,29.179289475527106,320.0547872145945
7377.760082683312,3688.880052636864,29.767680352696356,329.48957634598537
7817.749689997524,3908.8748556582655,30.36754279961932,339.20162421793606
8283.979084506618,4141.989552312887,30.979100471892497,349.1990785916891
8778.01313597249,4389.006577479661,31.602581385616425,359.4903266655312
9301.510038746646,4650.755028332442,32.23821800241022,370.0840021110936
9856.22687739571,4928.113447152746,32.886247316083754,380.9889923164277
10444.025524245699,5222.012770101893,33.546910940999545,392.21444584193165
11066.87888863989,5533.439451849921,34.220455202157396,403.769780095383
11726.877538885456,5863.438776548911,34.9071312270354,415.66468923251676
12426.236719115055,6213.118366263768,35.607195039221544,427.90915228977593
13167.303784615016,6583.651898636315,36.320907653870734,440.5134415560588
13952.566080576338,6976.283046260787,37.04853517502297,453.488131190485
14784.65929071304,7392.329650992992,37.790348894818834,466.84410609341023
15666.376283769463,7833.18814720398,38.54662539464935,480.5925710381334
16600.676487609297,8300.338248824524,39.31764664827796,494.7450600709542
17590.69582234984,8795.347915912273,40.10370012697291,509.3134461874704
18639.75722588148,9319.87861741147,40.90507890668949,524.3099512932298
19751.38180710058,9875.690907769405,41.72208177734183,539.7471564570952
20929.300664290975,10464.650336127146,42.55501335420519,555.6380124659229
22177.46740832167,11088.733707918404,43.40418419149017,571.9958506894103
23500.071432694094,11750.035719893136,44.26991089813124,588.8343942642273
24901.551974979007,12450.775990836017,45.15251625583276,606.1677696068133
26386.61301683937,13193.306511577854,46.0523293394164,624.0105182645004
27960.239072650154,13980.1195393055,46.96968563951505,642.3776091149023
29627.711919708698,14813.85596266703,47.9049271876587,661.2844509238058
31394.628326189355,15697.314165749058,48.85840268379916,680.7469052720992
33266.91883634535,16633.459420677667,49.830467626321,700.7812998625817
35250.86767600913,17625.433840368576,50.82148444458729,721.4044422178185
37353.133845202785,18676.56692483235,51.83182263406949,742.633633780533
39580.77346865453,19790.386736432665,52.86185889411193,764.4866844283645
41941.26347923944,20970.631741606623,53.91197726838222,786.9819274151691
44442.526713836356,22221.263358793258,54.982569288059885,810.1382347513991
47092.958505833616,23546.47925468636,56.07403411781676,833.975033036462
49901.45486353981,24950.727433439864,57.186778704643494,858.5123197563439
52877.44232907843,26438.721166115192,58.32121792957758,883.7706800601678
56030.90961798617,28015.45481048036,59.47777476238958,909.7713040297626
59372.441145710975,29686.220574259056,60.65688041928527,936.5360044567311
62913.25255353957,31456.626278094358,61.858974523682306,964.0872351419279
66665.22835319501,33332.61417784753,63.08450527012157,992.448109732703
70640.9618164559,35320.480909407626,64.3339295913741,1021.6424211137135
74853.79724368441,37426.89862295549,65.60771332880621,1051.6946613675673
79317.87475313466,39658.93737761796,66.90633140606595,1082.6300423220503
84048.17774137396,42024.08887167847,68.23026800615594,1114.4745167011695
89060.58317411506,44530.29158799322,69.58001675195847,1147.2547998977604
94371.91487625704,47185.95743901155,70.95608089028025,1180.9983923859222
100000.0,50000.00000083333,72.35897347948539,1215.7336027920835
